@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 10\n','Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,3,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8923,9933,4989,50,50,?,2,?,?,?
dataset,4,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0.01,0,10,0,8506,9933,4989,100,100,?,1,?,?,?
dataset,4,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,0,2,0,0,100,0,-1,0.928571,0.931315,185.714286,186.262926,2,1076.807355,-1074.807355,1,538.403677,-537.403677,-1.777608,-0.888804,-177.760758,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.002,0,0,0,0,0,9144,9933,4989,50,75,?,3,?,?,?
dataset,4,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8507,9933,4989,100,100,?,1,?,?,?
dataset,4,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8507,9933,4989,100,100,?,1,?,?,?
dataset,4,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,0,2,0,0,100,0,-1,0.888889,0.895806,177.777778,179.161283,2,1076.169925,-1074.169925,1,538.084963,-537.084963,-1.63743,-0.818715,-163.742992,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.001,0.001,0,0,0,0,9145,9933,4989,50,75,?,3,?,?,?
dataset,4,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8506,9933,4989,100,100,?,1,?,?,?
dataset,4,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8507,9933,4989,100,100,?,1,?,?,?
dataset,4,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.559017,100,111.803399,2,2.415037,-0.415037,1,1.207519,-0.207519,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8994,9933,4989,100,100,?,2,?,?,?
dataset,4,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,0,2,0,0,100,0,-1,0.875,0.883883,175,176.776695,2,1076,-1074,1,538,-537,-1.584963,-0.792481,-158.49625,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.002,0,0,0,0,0,8923,9933,4989,50,75,?,2,?,?,?
dataset,4,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,0,2,0,0,100,0,-1,0.821429,0.840614,164.285714,168.12289,2,1075.485427,-1073.485427,1,537.742713,-536.742713,-1.36257,-0.681285,-136.257008,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.001,0,0,0,0,0,8924,9933,4989,50,75,?,2,?,?,?
dataset,5,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.707107,100,141.421356,2,1074,-1072,1,537,-536,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,9213,9933,4989,50,50,?,3,?,?,?
dataset,5,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0.01,0,10,0,8508,9933,4989,100,100,?,1,?,?,?
dataset,5,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,1,1,0,50,50,0,0,0.5,0.5,100,100,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.5,0.5,0.333333,0.5,0.001,0,0,0,0,0,8508,9933,4989,100,100,?,1,?,?,?
dataset,5,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171005.1336,18,2,0,2,0,0,100,0,-1,0.875,0.883883,175,176.776695,2,1076,-1074,1,538,-537,-1.584963,-0.792481,-158.49625,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.001,0,0,0,0,0,8925,9933,4989,50,75,?,2,?,?,?
