@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

dataset,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.577089,70,106.017999,5.325203,1074,-1068.674797,2.662602,537,-534.337398,0.862496,0.431248,70.598352,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.75,0.75,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,95.454545,146.313933,2.140779,308.61005,-306.469272,1.070389,154.305025,-153.234636,0.137504,0.068752,10.135374,0.5,1,0,0,0,0,0.5,1,1,0.5,0.666667,0,?,1,0.5,0,0,0.5,1,0.5,0.666667,0,0,1,0.666667,0.5,0,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.492428,0.639683,134.882388,153.087089,2.325203,13.167843,-10.84264,1.162602,6.583921,-5.42132,-0.695513,-0.347757,-51.821252,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.5,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,50,?,?,?,?,?
dataset,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,30.975843,-28.65064,1.162602,15.487922,-14.32532,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,1,1,0.333333,0.5,0,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0,0,0,0,2.325203,0,2.325203,1.162602,0,1.162602,2.325203,1.162602,173.246087,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0.015625,0,15.625,0,20544,16017,8385,100,33.333333,?,?,?,?,?
dataset,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.33251,0.575924,91.078857,137.828624,2.325203,8.661473,-6.33627,1.162602,4.330736,-3.168135,0.325495,0.162748,24.251994,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,1,1,0.333333,0.5,0.001,0,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.335277,0.576925,91.836665,138.068063,2.325203,10.374201,-8.048998,1.162602,5.1871,-4.024499,0.313486,0.156743,23.35719,0,0,0,0,1,1,1,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0,0.5,0.333333,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,1,1,0,50,50,0,0,0.333333,0.57735,91.304348,138.169856,2.325203,508.001543,-505.67634,1.162602,254.000771,-252.83817,0.241008,0.120504,17.957015,1,1,1,1,0,0,0,0,0.5,1,0.666667,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.333333,0,0.75,0.75,0.333333,0.5,0.001,0.001,0,0,0,0,20544,16017,8385,50,33.333333,?,?,?,?,?
dataset,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,2,0,0,100,0,0,1,0.001124,0.001947,0.307871,0.465898,2.325203,0.004873,2.32033,1.162602,0.002436,1.160165,2.32033,1.160165,172.883019,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0.015625,0,15.625,0,20544,16017,8385,100,33.333333,?,?,?,?,?
dataset,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20171005.1849,18,2,0,2,0,0,100,0,-1,0.653798,0.800891,179.083725,191.666884,2.325203,153.45598,-151.130777,1.162602,76.72799,-75.565388,-1.705466,-0.852733,-127.07071,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.001,0,0,0,0,0,20544,16017,8385,0,33.333333,?,?,?,?,?
